vol_number,vol_name,vol_type_primary,activity_evidence,last_known_eruption,elevation_m,lat,lon
263140,Galunggung,Stratovolcano,Eruption Observed,1984 CE,2168,-7.25,108.058
263170,Cereme,Stratovolcano,Eruption Observed,1951 CE,3039,-6.895,108.408
263180,Slamet,Stratovolcano,Eruption Observed,2014 CE,3428,-7.242,109.208
263200,Dieng Volcanic Complex,Complex,Eruption Observed,2021 CE,2565,-7.2,109.879
263210,Sundoro,Stratovolcano,Eruption Observed,1971 CE,3136,-7.3,109.992
263220,Sumbing,Stratovolcano,Eruption Observed,1730 CE,3371,-7.384,110.07
263240,Merbabu,Stratovolcano,Eruption Observed,1797 CE,3118,-7.454,110.44
263250,Merapi,Stratovolcano,Eruption Observed,2021 CE,2910,-7.54,110.446
263260,Lawu,Stratovolcano,Eruption Observed,1885 CE,3265,-7.625,111.192
263280,Kelut,Stratovolcano,Eruption Observed,2014 CE,1731,-7.93,112.308
263290,Arjuno-Welirang,Stratovolcano,Eruption Observed,1952 CE,3339,-7.733,112.575
263300,Semeru,Stratovolcano,Eruption Observed,2021 CE,3657,-8.108,112.922
263310,Tengger Caldera,Stratovolcano(es),Eruption Observed,2020 CE,2329,-7.942,112.95
263320,Lamongan,Stratovolcano,Eruption Observed,1898 CE,1641,-7.981,113.341
263340,Raung,Stratovolcano,Eruption Observed,2021 CE,3260,-8.119,114.056
263350,Ijen,Stratovolcano(es),Eruption Observed,1999 CE,2769,-8.058,114.242
264010,Batur,Caldera,Eruption Observed,2000 CE,1717,-8.242,115.375
264020,Agung,Stratovolcano,Eruption Observed,2019 CE,2997,-8.343,115.508
264030,Rinjani,Stratovolcano,Eruption Observed,2016 CE,3726,-8.42,116.47
264040,Tambora,Stratovolcano,Eruption Observed,1967 CE,2850,-8.25,118
264050,Sangeang Api,Complex,Eruption Observed,2020 CE,1912,-8.2,119.07
264071,Ranakah,Lava dome(s),Eruption Observed,1991 CE,2350,-8.62,120.52
264090,Inielika,Complex,Eruption Observed,2001 CE,1559,-8.73,120.98
264100,Ebulobo,Stratovolcano,Eruption Observed,1969 CE,2096,-8.817,121.191
264110,Iya,Stratovolcano,Eruption Observed,1969 CE,618,-8.891,121.641
264140,Kelimutu,Complex,Eruption Observed,1968 CE,1639,-8.77,121.82
264150,Paluweh,Stratovolcano,Eruption Observed,2013 CE,875,-8.32,121.708
264160,Egon,Stratovolcano,Eruption Observed,2008 CE,1661,-8.676,122.455
264180,Lewotobi,Stratovolcano(es),Eruption Observed,2003 CE,1703,-8.542,122.775
264200,Leroboleng,Complex,Eruption Observed,2003 CE,1095,-8.365,122.833
264220,Iliboleng,Stratovolcano,Eruption Observed,1993 CE,1659,-8.342,123.258
264230,Lewotolok,Stratovolcano,Eruption Observed,2021 CE,1431,-8.274,123.508
264250,Iliwerung,Complex,Eruption Observed,2013 CE,1018,-8.53,123.57
264260,"Tara, Batu",Stratovolcano,Eruption Observed,2015 CE,633,-7.791,123.585
264270,Sirung,Complex,Eruption Observed,2015 CE,862,-8.508,124.13
265030,Gunungapi Wetar,Stratovolcano,Eruption Observed,1699 CE,282,-6.642,126.65
265040,Wurlali,Stratovolcano,Eruption Observed,1892 CE,868,-7.125,128.675
265050,Teon,Stratovolcano,Eruption Observed,1904 CE,728,-6.976,129.144
265060,Nila,Stratovolcano,Eruption Observed,1968 CE,781,-6.73,129.5
265070,Serua,Stratovolcano,Eruption Observed,1921 CE,608,-6.312,130.017
265090,Banda Api,Caldera,Eruption Observed,1988 CE,596,-4.523,129.881
266010,Colo,Stratovolcano,Eruption Observed,1983 CE,404,-0.162,121.601
266020,Ambang,Complex,Eruption Observed,2005 CE,1795,0.75,124.42
266030,Soputan,Stratovolcano,Eruption Observed,2020 CE,1785,1.112,124.737
266100,Lokon-Empung,Stratovolcano(es),Eruption Observed,2015 CE,1580,1.358,124.792
266110,Mahawu,Stratovolcano,Eruption Observed,1977 CE,1299,1.352,124.865
266130,Tangkoko-Duasudara,Stratovolcano,Eruption Observed,1880 CE,1334,1.518,125.185
267010,Ruang,Stratovolcano,Eruption Observed,2002 CE,725,2.3,125.37
267020,Karangetang,Stratovolcano,Eruption Observed,2021 CE,1797,2.781,125.407
267030,Banua Wuhu,Submarine,Eruption Observed,1919 CE,-5,3.138,125.491
267040,Awu,Stratovolcano,Eruption Observed,2004 CE,1318,3.689,125.447
268010,Dukono,Complex,Eruption Observed,2021 CE,1229,1.693,127.894
268030,Ibu,Stratovolcano,Eruption Observed,2021 CE,1325,1.488,127.63
268040,Gamkonora,Stratovolcano,Eruption Observed,2007 CE,1635,1.38,127.53
268060,Gamalama,Stratovolcano(es),Eruption Observed,2018 CE,1715,0.8,127.33
268070,Makian,Stratovolcano,Eruption Observed,1988 CE,1357,0.32,127.4
271011,Parker,Stratovolcano,Eruption Observed,1641 CE,1824,6.113,124.892
271020,Matutum,Stratovolcano,Eruption Dated,1290 CE,2286,6.37,125.07
271031,Leonard Range,Stratovolcano,Eruption Dated,120 CE,1080,7.382,126.047
271040,Makaturing,Stratovolcano,Eruption Observed,1882 CE,1818,7.644,124.317
271060,Ragang,Stratovolcano,Eruption Observed,1916 CE,2790,7.691,124.507
271080,Camiguin,Stratovolcano(es),Eruption Observed,1953 CE,1552,9.203,124.673
272020,Kanlaon,Stratovolcano,Eruption Observed,2017 CE,2435,10.412,123.132
272050,Cabalían,Stratovolcano,Eruption Dated,1820 CE,912,10.285,125.218
272080,Biliran,Compound,Eruption Observed,1939 CE,1301,11.523,124.535
273010,Bulusan,Stratovolcano(es),Eruption Observed,2017 CE,1535,12.769,124.056
273030,Mayon,Stratovolcano,Eruption Observed,2019 CE,2462,13.257,123.685
273060,San Pablo Volcanic Field,Stratovolcano,Eruption Dated,1350 CE,1090,14.12,121.3
273070,Taal,Caldera,Eruption Observed,2020 CE,311,14.002,120.993
273083,Pinatubo,Stratovolcano,Eruption Observed,1993 CE,1486,15.13,120.35
273090,Cagua,Stratovolcano,Eruption Observed,1860 CE,1133,18.222,122.123
274010,Camiguin de Babuyanes,Stratovolcano,Eruption Observed,1857 CE,712,18.83,121.86
274020,Didicas,Compound,Eruption Observed,1978 CE,228,19.077,122.202
274030,Babuyan Claro,Stratovolcano(es),Eruption Observed,1924 CE,1080,19.523,121.94
274050,Unnamed,Submarine,Eruption Observed,1854 CE,-24,20.33,121.75
274060,Iraya,Stratovolcano,Eruption Observed,1454 CE,1009,20.469,122.01
275001,Hainan Volcanic Field,Pyroclastic cone(s),Eruption Observed,1933 CE,196,19.905,110.229
275060,"Cendres, Ile des",Submarine,Eruption Observed,1923 CE,-20,10.158,109.014
281031,Kueishantao,Stratovolcano,Eruption Observed,1853 CE,361,24.841,121.953
281032,Tatun Volcanic Group,Lava dome(s),Eruption Dated,648 CE,1120,25.178,121.553
282010,Submarine Volcano NNE of Iriomotejima,Submarine,Eruption Observed,1924 CE,-200,24.57,123.93
282020,Io-Torishima,Complex,Eruption Observed,1968 CE,212,27.881,128.223
282021,Yokoatejima,Stratovolcano(es),Eruption Observed,1835 CE,495,28.797,128.997
282030,Suwanosejima,Stratovolcano(es),Eruption Observed,2021 CE,796,29.638,129.714
282040,Nakanoshima,Stratovolcano(es),Eruption Observed,1914 CE,979,29.859,129.857
282043,Kuchinoshima,Stratovolcano(es),Eruption Dated,1190 CE,628,29.968,129.926
282050,Kuchinoerabujima,Stratovolcano(es),Eruption Observed,2020 CE,657,30.443,130.217
282060,Kikai,Caldera,Eruption Observed,2020 CE,704,30.793,130.305
282070,Ata,Caldera(s),Eruption Observed,885 CE,924,31.22,130.57
282080,Aira,Caldera,Eruption Observed,2021 CE,1117,31.593,130.657
282090,Kirishimayama,Shield,Eruption Observed,2018 CE,1700,31.934,130.862
282100,Unzendake,Complex,Eruption Observed,1996 CE,1483,32.761,130.299
282110,Asosan,Caldera,Eruption Observed,2020 CE,1592,32.884,131.104
282120,Kujusan,Stratovolcano(es),Eruption Observed,1996 CE,1791,33.086,131.249
282130,Yufu-Tsurumi,Lava dome(s),Eruption Observed,867 CE,1584,33.282,131.39
283002,Sanbesan,Stratovolcano,Eruption Dated,650 CE,1126,35.141,132.622
283010,Izu-Tobu,Pyroclastic cone(s),Eruption Observed,1989 CE,1406,34.9,139.098
283020,Hakoneyama,Complex,Eruption Dated,2015 CE,1438,35.233,139.021
283030,Fujisan,Stratovolcano,Eruption Observed,1708 CE,3776,35.361,138.728
283031,Yokodake,Stratovolcano(es),Eruption Dated,1200 CE,2480,36.087,138.32
283040,Ontakesan,Complex,Eruption Observed,2014 CE,3067,35.893,137.48
283050,Hakusan,Stratovolcano,Eruption Observed,1659 CE,2702,36.155,136.771
283070,Yakedake,Stratovolcano(es),Eruption Observed,1995 CE,2455,36.227,137.587
283080,Midagahara,Stratovolcano,Eruption Observed,1839 CE,2621,36.571,137.59
283090,Niigata-Yakeyama,Lava dome,Eruption Observed,1998 CE,2400,36.921,138.036
