country,hasc,region_indicator,raw_population_exposure_index,raw_economic_exposure,relative_population_exposure_index,relative_economic_exposure,poverty,economic_dependency,maternal_mortality,infant_mortality,malnutrition,population_change,urban_pop_change,school_enrollment,years_of_schooling,fem_to_male_labor,proportion_of_female_seats_in_government,life_expectancy,protected_area,physicians_per_10000_persons,nurse_midwife_per_10k,distance_to_hospital,hbeds_per_10000_persons,distance_to_port,road_density,households_with_fixed_phone,households_with_cell_phone,voter_participation
VN,VN.BN,Bac Ninh,0.47,,0.48,,0.07,0.59,,0.30,0.67,0.67,1.00,0.29,,,,0.21,0.00,0.53,0.24,1.00,0.41,0.95,0.32,,,
VN,VN.BR,Ben Tre,0.37,,0.16,,0.30,0.39,,0.14,0.40,0.00,0.03,0.90,,,,0.10,0.14,0.33,0.40,0.91,0.49,0.98,0.37,,,
VN,VN.BD,Binh Dinh,0.64,,0.61,,0.31,0.58,,0.40,0.28,0.29,0.17,0.52,,,,0.29,0.25,0.27,0.57,0.59,0.23,0.05,0.54,,,
VN,VN.BI,Binh Duong,0.74,,0.54,,0.00,0.00,,0.09,0.58,1.00,1.00,0.68,,,,0.06,0.14,0.01,0.00,0.71,0.09,0.94,0.72,,,
VN,VN.BP,Binh Phuoc,0.53,,0.70,,0.21,0.51,,0.35,0.40,0.69,0.61,0.53,,,,0.26,0.62,0.12,0.43,0.76,0.41,0.72,0.56,,,
VN,VN.BU,Binh Thuan,0.50,,0.44,,0.13,0.37,,0.29,0.37,0.49,0.13,0.89,,,,0.20,0.34,0.26,0.48,0.70,0.47,0.82,0.54,,,
VN,VN.CM,Ca Mau,0.39,,0.19,,0.16,0.37,,0.23,0.70,0.31,0.12,0.05,,,,0.16,0.64,0.23,0.30,0.84,0.35,0.84,0.56,,,
VN,VN.CN,Can Tho,0.54,,0.50,,0.11,0.26,,0.11,0.38,0.53,0.43,0.38,,,,0.07,0.00,0.51,0.42,0.91,0.33,0.98,0.57,,,
VN,VN.CB,Cao Bang,0.12,,0.21,,0.84,0.51,,0.67,0.50,0.36,0.64,0.52,,,,0.57,0.21,1.00,0.97,0.50,0.87,0.57,0.24,,,
VN,VN.DA,Da Nang,0.47,,0.52,,0.03,0.38,,0.08,0.16,0.78,0.29,0.40,,,,0.05,0.75,0.71,0.76,0.75,1.00,0.92,0.48,,,
VN,VN.DC,Dak Lak,0.62,,0.38,,0.34,0.50,,0.67,0.53,0.60,0.17,0.69,,,,0.56,0.49,0.37,0.38,0.70,0.33,0.78,0.61,,,
VN,VN.DO,Dak Nong,0.24,,0.38,,0.54,0.73,,0.71,0.52,0.86,0.42,0.60,,,,0.64,0.49,0.09,0.31,0.64,0.14,0.77,0.45,,,
VN,VN.DB,Dien Bien,0.42,,1.00,,1.00,1.00,,0.87,0.57,0.76,0.11,0.43,,,,0.81,0.27,0.73,0.68,0.39,0.64,0.21,0.08,,,
VN,VN.DN,Dong Nai,0.70,,0.28,,0.03,0.25,,0.00,0.51,0.79,0.35,0.78,,,,0.00,0.75,0.19,0.40,0.77,0.34,0.90,0.77,,,
VN,VN.DT,Dong Thap,0.66,,0.52,,0.25,0.32,,0.26,0.48,0.28,0.07,0.41,,,,0.18,0.20,0.34,0.47,0.85,0.33,0.99,0.59,,,
VN,VN.GL,Gia Lai,0.52,,0.37,,0.54,0.75,,0.73,0.73,0.70,0.26,0.72,,,,0.68,0.37,0.37,0.51,0.58,0.30,0.28,0.57,,,
VN,VN.HG,Ha Giang,0.30,,0.29,,0.83,0.83,,0.87,0.84,0.69,0.53,0.13,,,,0.81,0.29,0.63,0.74,0.59,0.61,0.47,0.28,,,
VN,VN.HM,Ha Nam,0.52,,0.89,,0.19,0.50,,0.26,0.44,0.14,1.00,0.61,,,,0.19,0.00,0.40,0.56,0.96,0.52,0.93,0.10,,,
VN,VN.HI,Ha Noi,1.00,,0.28,,0.06,0.47,,0.17,0.37,0.75,0.49,0.32,,,,0.11,0.20,0.23,0.30,0.91,0.00,0.96,0.94,,,
VN,VN.HT,Ha Tinh,0.58,,0.65,,0.46,0.75,,0.47,0.45,0.08,0.45,0.37,,,,0.36,0.41,0.52,0.49,0.29,0.48,0.22,0.51,,,
VN,VN.HD,Hai Duong,0.70,,0.67,,0.12,0.42,,0.25,0.24,0.43,0.60,0.43,,,,0.18,0.11,0.41,0.66,0.87,0.48,0.96,0.41,,,
VN,VN.HP,Hai Phong,0.70,,0.55,,0.10,0.45,,0.26,0.33,0.58,0.22,0.23,,,,0.19,0.45,0.59,0.69,0.98,0.59,0.99,0.42,,,
VN,VN.HU,Hau Giang,0.42,,0.56,,0.34,0.26,,0.16,0.41,0.27,0.60,0.31,,,,0.11,0.15,0.33,0.42,0.94,0.44,0.87,0.36,,,
VN,VN.HC,Ho Chi Minh City,0.97,,0.15,,0.00,0.12,,0.00,0.00,0.81,0.24,0.18,,,,0.03,0.60,0.38,0.51,0.93,0.65,0.99,1.00,,,
VN,VN.HO,Hoa Binh,0.48,,0.71,,0.54,0.38,,0.48,0.37,0.25,0.00,0.33,,,,0.35,0.39,0.50,0.59,0.84,0.59,0.77,0.28,,,
VN,VN.HY,Hung Yen,0.56,,0.63,,0.12,0.50,,0.27,0.45,0.40,0.19,0.34,,,,0.19,0.00,0.39,0.51,0.97,0.43,0.91,0.10,,,
VN,VN.KH,Khanh Hoa,0.48,,0.37,,0.17,0.38,,0.35,0.51,0.52,0.21,0.78,,,,0.26,0.30,0.27,0.58,0.50,0.39,0.87,0.51,,,
VN,VN.KG,Kien Giang,0.56,,0.31,,0.12,0.40,,0.29,0.48,0.53,0.15,0.32,,,,0.19,0.80,0.35,0.55,0.79,0.42,0.93,0.60,,,
VN,VN.KT,Kon Tum,0.34,,0.78,,0.57,0.87,,0.94,0.58,0.79,0.34,0.96,,,,0.92,0.36,0.72,0.88,0.45,0.72,0.16,0.37,,,
VN,VN.LI,Lai Chau,0.21,,0.58,,1.00,1.00,,1.00,0.50,0.70,0.57,0.27,,,,1.00,0.17,0.59,1.00,0.57,0.69,0.00,0.00,,,
VN,VN.LD,Lam Dong,0.43,,0.23,,0.21,0.51,,0.44,0.59,0.62,0.09,0.59,,,,0.34,0.63,0.39,0.52,0.45,0.28,0.85,0.72,,,
VN,VN.LS,Lang Son,0.25,,0.22,,0.56,0.35,,0.51,0.91,0.42,0.02,0.61,,,,0.40,0.13,0.67,0.72,0.69,0.60,0.52,0.22,,,
VN,VN.LO,Lao Cai,0.06,,0.00,,0.74,0.65,,0.78,0.37,0.67,0.24,0.00,,,,0.69,0.30,0.61,0.92,0.69,0.94,0.19,0.33,,,
VN,VN.LA,Long An,0.66,,0.66,,0.17,0.34,,0.12,0.35,0.47,0.06,0.78,,,,0.09,0.12,0.34,0.44,0.56,0.33,0.89,0.72,,,
VN,VN.ND,Nam Dinh,0.77,,0.81,,0.13,0.56,,0.29,0.33,0.00,0.13,0.36,,,,0.20,0.65,0.18,0.29,0.93,0.40,0.96,0.23,,,
VN,VN.NA,Nghe An,0.89,,0.68,,0.42,0.44,,0.46,0.37,0.47,0.35,0.39,,,,0.35,1.00,0.29,0.50,0.59,0.48,0.00,0.66,,,
VN,VN.NB,Ninh Binh,0.52,,0.75,,0.19,0.56,,0.37,0.34,0.44,0.34,0.72,,,,0.27,0.51,0.48,0.49,0.84,0.49,0.86,0.34,,,
VN,VN.NT,Ninh Thuan,0.20,,0.30,,0.28,0.54,,0.45,0.47,0.54,0.25,1.00,,,,0.34,0.44,0.46,0.54,0.68,0.46,0.91,0.20,,,
VN,VN.PT,Phu Tho,0.50,,0.35,,0.27,0.50,,0.40,0.44,0.44,0.25,0.34,,,,0.29,0.23,0.63,0.42,0.89,0.81,0.75,0.32,,,
VN,VN.PY,Phu Yen,0.52,,0.76,,0.32,0.50,,0.40,0.58,0.47,0.47,0.63,,,,0.29,0.29,0.27,0.42,0.62,0.28,0.60,0.32,,,
VN,VN.QB,Quang Binh,0.48,,0.65,,0.43,0.59,,0.47,0.45,0.42,0.46,0.39,,,,0.35,0.45,0.28,0.36,0.39,0.25,0.73,0.34,,,
VN,VN.QM,Quang Nam,0.64,,0.64,,0.36,0.54,,0.45,0.49,0.42,0.47,0.52,,,,0.35,0.45,0.26,0.35,0.00,0.45,0.64,0.82,,,
VN,VN.QG,Quang Ngai,0.59,,0.67,,0.38,0.50,,0.50,0.37,0.30,0.13,0.58,,,,0.39,0.06,0.25,0.44,0.43,0.23,0.38,0.62,,,
VN,VN.QN,Quang Ninh,0.51,,0.45,,0.14,0.45,,0.40,0.72,0.58,0.36,0.17,,,,0.29,0.29,0.57,0.42,0.68,0.80,0.90,0.49,,,
VN,VN.QT,Quang Tri,0.36,,0.56,,0.37,0.84,,0.84,0.51,0.41,0.13,0.32,,,,0.77,0.39,0.58,0.74,0.71,0.58,0.79,0.44,,,
VN,VN.ST,Soc Trang,0.53,,0.43,,0.41,0.34,,0.31,0.40,0.37,0.70,0.30,,,,0.23,0.00,0.13,0.29,0.87,0.16,0.96,0.52,,,
VN,VN.SL,Son La,0.62,,0.77,,0.78,0.74,,0.64,0.90,0.68,0.21,0.14,,,,0.53,0.25,0.34,0.44,0.66,0.47,0.72,0.13,,,
VN,VN.TN,Tay Ninh,0.62,,0.78,,0.07,0.26,,0.25,0.33,0.49,0.59,0.58,,,,0.18,0.28,0.00,0.18,0.78,0.16,0.67,0.60,,,
VN,VN.TB,Thai Binh,0.69,,0.63,,0.16,0.54,,0.17,0.47,0.00,0.35,0.24,,,,0.12,0.45,0.54,0.22,0.95,0.48,0.97,0.08,,,
VN,VN.TY,Thai Nguyen,0.36,,0.19,,0.31,0.42,,0.38,0.76,0.58,0.56,0.61,,,,0.28,0.34,0.58,0.70,0.85,0.64,0.71,0.15,,,
VN,VN.TH,Thanh Hoa,0.94,,0.75,,0.41,0.42,,0.41,0.52,0.24,0.64,0.42,,,,0.30,0.36,0.44,0.26,0.75,0.48,0.54,0.68,,,
VN,VN.TT,Thua Thien Hue,0.58,,0.71,,0.16,0.57,,0.56,0.37,0.47,0.55,0.59,,,,0.45,0.55,0.32,0.28,0.56,0.16,0.67,0.51,,,
VN,VN.TG,Tien Giang,0.57,,0.34,,0.22,0.38,,0.10,0.47,0.40,0.14,0.95,,,,0.07,0.00,0.24,0.32,0.86,0.19,0.99,0.48,,,
VN,VN.TV,Tra Vinh,0.36,,0.26,,0.41,0.37,,0.28,1.00,0.39,0.25,0.99,,,,0.19,0.00,0.27,0.27,0.92,0.27,0.98,0.40,,,
VN,VN.TQ,Tuyen Quang,0.26,,0.24,,0.51,0.49,,0.52,0.70,0.48,0.24,0.27,,,,0.39,0.34,0.37,0.02,0.70,0.45,0.71,0.17,,,
VN,VN.VL,Vinh Long,0.49,,0.52,,0.19,0.34,,0.16,0.26,0.26,0.09,0.47,,,,0.12,0.00,0.35,0.31,0.91,0.22,1.00,0.33,,,
VN,VN.VC,Vinh Phuc,0.40,,0.30,,0.13,0.56,,0.30,0.30,0.54,0.45,0.58,,,,0.22,0.39,0.59,0.62,0.94,0.77,0.91,0.20,,,
VN,VN.YB,Yen Bai,0.33,,0.35,,0.68,0.61,,0.74,0.84,0.57,0.08,0.14,,,,0.67,0.31,0.55,0.67,0.62,0.70,0.51,0.18,,,
