country,hasc,region_indicator,raw_population_exposure_index,raw_economic_exposure,relative_population_exposure_index,relative_economic_exposure,poverty,economic_dependency,maternal_mortality,infant_mortality,malnutrition,population_change,urban_pop_change,school_enrollment,years_of_schooling,fem_to_male_labor,proportion_of_female_seats_in_government,life_expectancy,protected_area,physicians_per_10000_persons,nurse_midwife_per_10k,distance_to_hospital,hbeds_per_10000_persons,distance_to_port,road_density,households_with_fixed_phone,households_with_cell_phone,voter_participation
ID,ID.JA,Jambi,0.36,0.17,0.28,0.29,0.18,0.12,0.32,0.25,,0.46,0.39,0.12,0.59,0.81,0.57,0.38,0.69,0.37,0.77,,0.27,0.45,0.30,0.61,0.66,0.62
ID,ID.JR,Jawa Barat,1.00,0.93,0.45,0.46,0.15,0.21,0.21,0.17,,0.36,0.60,0.29,0.61,0.75,0.40,0.20,0.19,0.42,0.00,,0.09,0.54,0.80,0.84,0.69,0.39
ID,ID.JT,Jawa Tengah,0.92,0.72,0.45,0.46,0.31,0.27,0.24,0.21,,0.06,0.23,0.39,0.80,0.32,0.42,0.07,0.00,0.31,0.22,,0.27,0.71,0.65,0.77,0.58,0.19
ID,ID.JI,Jawa Timur,0.95,0.73,0.44,0.44,0.29,0.09,0.28,0.17,,0.00,0.25,0.34,0.79,0.36,0.65,0.37,0.19,0.40,0.14,,0.22,0.76,0.72,0.70,0.59,0.39
ID,ID.KB,Kalimantan Barat,0.43,0.36,0.25,0.28,0.17,0.36,0.27,0.19,,0.39,0.63,0.50,0.85,0.54,0.78,0.43,0.40,0.08,0.20,,0.20,0.00,0.12,0.58,0.50,0.36
ID,ID.KS,Kalimantan Selatan,0.42,0.25,0.35,0.35,0.05,0.27,0.36,0.43,,0.46,0.55,0.18,0.65,0.48,0.59,0.64,0.21,0.23,0.40,,0.27,0.73,0.38,0.56,0.76,0.43
ID,ID.KT,Kalimantan Tengah,0.35,0.33,0.49,0.50,0.06,0.06,0.60,0.53,,0.70,0.84,0.10,0.58,0.80,0.29,0.52,0.42,0.15,0.61,,0.12,0.25,0.13,0.50,0.80,0.16
ID,ID.KM,Kalimantan Timur,0.42,0.34,0.53,0.52,0.11,0.12,0.17,0.00,,0.70,0.59,0.27,0.31,0.86,0.77,0.07,0.13,0.55,0.58,,0.70,0.58,0.19,0.85,0.96,0.23
ID,ID.KU,Kalimantan Utara,0.00,0.00,0.33,0.33,0.13,,,,,1.00,0.81,1.00,0.48,1.00,0.43,0.24,0.70,0.42,1.00,,0.43,0.58,0.00,0.59,0.90,0.15
ID,ID.BB,Kepulauan Bangka Belitung,0.20,0.22,0.43,0.38,0.05,0.14,0.39,0.11,,0.65,0.65,0.39,0.70,0.85,1.00,0.44,0.07,0.27,0.34,,0.38,0.56,0.41,0.63,0.73,0.73
ID,ID.KR,Kepulauan Riau,0.13,0.61,0.00,0.00,0.10,0.21,0.11,0.26,,1.00,0.49,0.11,0.24,0.82,0.54,0.51,0.11,0.51,0.44,,0.45,0.78,0.53,0.86,0.95,0.50
ID,ID.LA,Lampung,0.59,0.44,0.39,0.37,0.38,0.31,0.21,0.17,,0.21,0.55,0.08,0.71,0.72,0.67,0.44,0.51,0.20,0.34,,0.12,0.32,0.35,0.40,0.58,0.22
ID,ID.MA,Maluku,0.28,0.06,0.74,0.71,0.62,0.76,0.38,0.28,,0.48,0.30,0.63,0.28,0.48,0.24,0.90,0.40,0.26,0.18,,0.42,0.08,0.24,0.50,0.46,0.11
ID,ID.MU,Maluku Utara,0.21,0.25,0.74,0.90,0.15,0.65,0.40,0.77,,0.62,0.40,0.50,0.47,0.73,0.45,0.67,0.27,0.17,0.52,,0.24,0.19,0.23,0.16,0.38,0.41
ID,ID.NB,Nusa Tenggara Barat,0.57,0.69,0.92,0.92,0.45,0.48,0.25,0.68,,0.28,0.52,0.17,0.86,0.16,0.85,0.86,0.39,0.13,0.29,,0.00,0.37,0.63,0.44,0.47,0.42
ID,ID.NT,Nusa Tenggara Timur,0.53,0.20,0.57,0.52,0.74,1.00,0.90,0.45,,0.44,0.81,0.64,0.80,0.13,0.79,0.80,0.23,0.12,0.62,,0.06,0.27,0.51,0.46,0.16,0.18
ID,ID.PA,Papua,0.43,0.57,0.69,0.68,1.00,0.08,0.53,0.62,,0.54,0.73,1.00,1.00,0.36,0.57,0.92,0.92,0.19,0.21,,0.33,0.19,0.08,0.48,0.00,1.00
ID,ID.IB,Papua Barat,0.11,0.14,0.57,0.58,0.78,0.24,0.72,1.00,,0.84,0.85,0.93,0.82,0.71,0.96,0.89,0.74,0.44,0.80,,0.41,0.70,0.16,0.53,0.70,0.82
ID,ID.RI,Riau,0.55,0.62,0.46,0.45,0.15,0.36,0.21,0.06,,0.83,0.44,0.46,0.46,0.87,0.17,0.34,0.29,0.48,0.54,,0.17,0.39,0.24,0.59,0.72,0.57
ID,ID.SR,Sulawesi Barat,0.21,0.30,0.62,0.65,0.33,0.55,0.90,0.74,,0.55,0.23,0.68,0.76,0.58,0.55,1.00,0.47,0.00,0.16,,0.12,0.12,0.15,0.00,0.34,0.75
ID,ID.SE,Sulawesi Selatan,0.58,0.55,0.34,0.35,0.22,0.43,0.34,0.08,,0.17,0.55,0.33,0.63,0.53,0.52,0.44,0.23,0.52,0.38,,0.51,0.78,0.50,0.52,0.67,0.31
ID,ID.ST,Sulawesi Tengah,0.40,0.26,0.63,0.61,0.42,0.36,0.88,0.70,,0.41,0.79,1.00,0.52,0.70,0.31,0.66,0.44,0.20,0.90,,0.41,0.25,0.19,0.51,0.48,0.51
ID,ID.SG,Sulawesi Tenggara,0.34,0.36,0.46,0.47,0.33,0.75,0.49,0.45,,0.63,1.00,0.43,0.49,0.43,0.54,0.39,0.31,0.12,0.56,,0.23,0.36,0.31,0.52,0.61,0.40
ID,ID.SW,Sulawesi Utara,0.41,0.38,0.91,0.88,0.18,0.21,0.58,0.23,,0.18,0.52,0.79,0.37,0.84,0.00,0.33,0.73,0.89,0.43,,0.86,0.62,0.40,0.52,0.74,0.47
ID,ID.SB,Sumatera Barat,0.53,0.78,0.61,0.73,0.12,0.60,0.42,0.11,,0.26,0.74,0.21,0.49,0.40,0.79,0.56,0.79,0.44,0.45,,0.37,0.64,0.32,0.64,0.60,0.08
ID,ID.SL,Sumatera Selatan,0.59,0.48,0.40,0.39,0.40,0.30,0.14,0.15,,0.32,0.19,0.36,0.65,0.58,0.42,0.52,0.33,0.29,0.70,,0.23,0.30,0.23,0.66,0.56,0.51
ID,ID.SU,Sumatera Utara,0.80,1.00,0.84,0.85,0.23,0.62,0.30,0.36,,0.25,0.40,0.40,0.37,0.35,0.57,0.59,0.23,0.56,0.59,,0.51,0.66,0.39,0.63,0.56,0.00
PH,PH.AB,Abra,0.34,0.50,0.66,0.63,0.34,0.44,0.51,0.92,0.63,0.14,0.21,0.45,,0.43,,0.45,0.02,0.46,,0.49,0.52,0.33,0.00,,,0.95
PH,PH.AN,Agusan del Norte,0.53,0.76,0.76,0.79,0.45,0.48,0.91,0.23,0.38,0.41,0.34,0.10,,0.67,,0.49,0.00,0.36,,0.80,0.49,0.89,0.32,,,0.87
PH,PH.AS,Agusan del Sur,0.55,0.81,0.82,0.78,0.73,0.67,0.44,0.52,0.43,0.36,0.37,0.03,,0.42,,0.86,0.00,0.11,,0.48,0.37,0.55,0.08,,,0.58
PH,PH.AK,Aklan,0.49,0.64,0.71,0.72,0.18,0.36,0.71,0.78,0.66,0.39,0.25,0.32,,0.47,,0.50,0.00,0.44,,0.71,0.72,0.85,0.43,,,0.76
PH,PH.AL,Albay,0.62,0.84,0.71,0.74,0.34,0.53,0.44,0.55,0.73,0.35,0.45,0.27,,0.56,,0.38,0.50,0.51,,0.82,0.50,0.65,0.43,,,0.74
PH,PH.AQ,Antique,0.48,0.60,0.67,0.64,0.30,0.51,0.59,0.80,0.95,0.35,0.45,0.19,,0.37,,0.53,0.00,0.26,,0.61,0.38,0.71,0.28,,,0.71
PH,PH.AP,Apayao,0.26,0.39,0.80,0.80,0.37,0.34,0.74,0.51,0.72,0.31,,0.07,,0.57,,0.60,0.10,0.94,,0.54,0.70,0.29,0.00,,,0.49
PH,PH.AU,Aurora,0.37,0.38,0.94,0.89,0.25,0.52,0.32,0.35,1.00,0.35,0.49,0.19,,0.62,,0.39,0.43,0.07,,0.37,0.48,0.81,0.11,,,0.48
PH,PH.BS,Basilan,0.12,0.31,0.16,0.14,1.00,0.92,0.76,1.00,0.31,0.96,0.83,0.83,,0.96,,0.93,0.51,0.00,,0.13,0.30,0.76,0.18,,,0.43
PH,PH.BA,Bataan,0.54,0.60,0.77,0.80,0.11,0.20,0.36,0.32,0.32,0.57,0.39,0.26,,0.45,,0.38,0.85,0.40,,0.84,0.55,0.85,0.56,,,0.60
PH,PH.BN,Batanes,0.00,0.00,0.39,0.30,0.13,0.40,0.00,0.68,,0.20,0.67,0.36,,0.00,,0.45,0.00,1.00,,0.77,1.00,0.96,0.49,,,0.87
PH,PH.BT,Batangas,0.67,0.76,0.45,0.45,0.18,0.23,0.37,0.53,0.48,0.71,0.40,0.49,,0.31,,0.23,0.53,0.69,,0.81,0.63,0.71,0.69,,,0.55
PH,PH.BG,Benguet,0.53,0.86,0.64,0.61,0.07,0.17,0.37,0.57,0.17,0.51,0.30,0.82,,0.35,,0.30,0.48,1.00,,0.79,0.60,0.71,0.45,,,0.49
PH,PH.BI,Biliran,0.30,0.46,0.69,0.74,0.31,0.68,0.49,0.61,1.00,0.33,0.54,0.08,,0.53,,0.52,0.45,0.22,,0.19,0.37,0.81,0.37,,,0.47
PH,PH.BO,Bohol,0.59,0.76,0.58,0.58,0.35,0.54,0.29,0.84,0.59,0.25,0.46,0.39,,0.45,,0.42,0.00,0.28,,0.57,0.53,0.70,0.54,,,0.81
PH,PH.BK,Bukidnon,0.55,0.84,0.33,0.29,0.52,0.57,0.48,0.52,0.24,0.48,0.31,0.04,,0.61,,0.57,0.00,0.29,,0.47,0.57,0.24,0.34,,,0.61
PH,PH.BU,Bulacan,0.75,0.96,0.69,0.72,0.05,0.17,0.32,0.41,0.63,0.67,0.33,0.51,,0.34,,0.18,0.14,0.50,,0.89,0.54,0.69,0.66,,,0.61
PH,PH.CG,Cagayan,0.65,0.92,0.96,0.96,0.28,0.30,0.52,0.35,0.67,0.36,0.55,0.21,,0.54,,0.32,0.33,0.61,,0.45,0.62,0.57,0.28,,,0.58
PH,PH.CN,Camarines Norte,0.47,0.64,0.62,0.68,0.53,0.64,0.83,0.67,0.67,0.40,0.46,0.12,,0.70,,0.54,0.42,0.29,,0.71,0.49,0.78,0.30,,,0.67
PH,PH.CS,Camarines Sur,0.69,0.90,0.70,0.75,0.49,0.67,,0.00,0.47,0.38,0.47,0.24,,0.60,,0.47,0.52,0.40,,0.65,0.54,0.62,0.32,,,0.63
PH,PH.CM,Camiguin,0.14,0.33,0.50,0.43,0.40,0.58,0.56,0.85,0.00,0.30,0.61,0.08,,0.51,,0.52,0.00,0.40,,0.82,0.61,0.97,0.53,,,0.80
PH,PH.CP,Capiz,0.54,0.69,0.75,0.73,0.07,0.31,0.47,0.74,0.31,0.31,0.22,0.20,,0.49,,0.45,0.00,0.43,,0.68,0.54,0.86,0.52,,,0.62
PH,PH.CT,Catanduanes,0.37,0.45,0.80,0.73,0.33,0.71,0.86,0.90,0.78,0.32,0.70,0.20,,0.52,,0.63,0.00,0.49,,0.79,0.59,0.72,0.31,,,0.86
PH,PH.CV,Cavite,0.78,0.92,0.70,0.75,0.06,0.09,0.33,0.60,0.48,1.00,0.36,0.65,,0.28,,0.18,0.00,0.34,,0.93,0.51,0.58,1.00,,,0.10
PH,PH.CB,Cebu,0.84,1.00,0.75,0.78,0.24,0.37,0.37,0.49,0.50,0.60,0.27,0.27,,0.46,,0.34,0.53,0.51,,0.73,0.60,0.82,0.69,,,0.69
PH,,City of Isabela,0.00,0.16,0.10,0.08,0.99,0.45,1.00,0.67,,0.81,0.56,0.07,,0.69,,0.93,,0.45,,0.99,0.56,0.00,0.37,,,0.43
PH,PH.CL,Compostela Valley,0.51,0.66,0.59,0.56,0.43,0.42,0.82,0.61,0.22,0.38,0.26,0.29,,0.85,,0.52,0.00,0.17,,0.48,0.07,0.74,0.28,,,0.84
PH,PH.NC,Cotabato,0.54,0.79,0.34,0.36,0.56,0.47,0.44,0.54,0.51,0.67,0.39,0.12,,0.68,,0.46,0.57,0.31,,0.59,0.64,0.41,0.39,,,0.51
PH,,Cotabato City,0.36,0.67,0.58,0.55,0.86,0.40,0.34,0.54,,0.55,0.24,1.00,,0.46,,0.95,,0.62,,0.99,0.47,0.63,0.65,,,0.27
PH,PH.DV,Davao del Norte,0.54,0.70,0.45,0.44,0.22,0.31,0.40,0.55,0.55,0.40,0.17,0.15,,0.66,,0.44,0.00,0.46,,0.75,0.70,0.02,0.59,,,0.68
PH,PH.DR,Davao del Sur,0.61,0.57,0.32,0.31,0.17,0.23,0.40,0.57,0.49,0.61,0.28,0.28,,0.72,,0.38,0.55,0.67,,0.79,0.74,0.25,0.59,,,0.19
PH,PH.DC,Davao Occidental,0.33,0.05,0.42,0.43,0.75,0.62,0.98,0.35,,0.41,0.24,0.02,,0.99,,0.38,0.67,0.19,,0.22,0.00,0.67,0.04,,,0.10
PH,PH.DO,Davao Oriental,0.46,0.61,0.58,0.55,0.66,0.53,0.53,0.59,0.27,0.43,0.30,0.00,,0.82,,0.47,0.21,0.22,,0.27,0.17,0.43,0.18,,,0.74
PH,PH.DI,Dinagat Islands,0.20,0.40,0.50,0.54,0.64,0.56,0.93,0.34,,0.00,0.16,0.52,,0.72,,0.75,0.34,0.18,,0.39,,0.79,0.26,,,0.59
PH,PH.ES,Eastern Samar,0.45,0.60,0.82,0.71,1.00,0.63,0.41,0.62,0.42,0.48,0.61,0.24,,0.62,,0.56,0.00,0.21,,0.54,0.52,0.43,0.13,,,0.71
PH,PH.GU,Guimaras,0.24,0.32,0.42,0.43,0.13,0.29,0.00,0.73,0.25,0.38,0.45,0.14,,0.55,,0.44,0.24,0.05,,0.66,0.13,0.71,0.55,,,0.86
PH,PH.IF,Ifugao,0.35,0.51,0.85,0.82,0.21,0.41,0.00,0.55,0.29,0.33,0.62,0.34,,0.17,,0.49,0.00,0.40,,0.55,0.85,0.50,0.18,,,0.58
PH,PH.IN,Ilocos Norte,0.53,0.71,0.91,0.87,0.04,0.25,0.44,0.48,0.41,0.23,0.82,0.48,,0.55,,0.26,0.11,0.83,,0.73,0.61,0.71,0.38,,,0.72
PH,PH.IS,Ilocos Sur,0.53,0.72,0.76,0.77,0.10,0.28,0.21,0.33,0.55,0.25,0.81,0.48,,0.49,,0.31,0.32,0.78,,0.80,0.62,0.60,0.38,,,0.81
PH,PH.II,Iloilo,0.74,0.93,0.78,0.83,0.27,0.32,0.29,0.60,0.43,0.34,0.43,0.24,,0.61,,0.28,0.06,0.92,,0.69,0.63,1.00,0.58,,,0.67
PH,PH.IB,Isabela,0.70,0.96,0.98,0.96,0.29,0.25,0.37,0.40,0.42,0.37,0.46,0.28,,0.65,,0.40,0.48,0.45,,0.63,0.58,0.27,0.30,,,0.61
PH,PH.KA,Kalinga,0.34,0.51,0.68,0.70,0.20,0.46,0.33,0.75,0.15,0.29,0.00,0.25,,0.35,,0.58,0.12,0.47,,0.60,0.36,0.72,0.09,,,0.71
PH,PH.LU,La Union,0.53,0.74,0.67,0.69,0.04,0.24,0.73,0.70,0.64,0.32,0.50,0.55,,0.42,,0.35,0.69,0.76,,0.80,0.52,0.60,0.54,,,0.78
PH,PH.LG,Laguna,0.76,0.83,0.70,0.70,0.03,0.09,0.38,0.71,0.54,0.73,0.27,0.45,,0.25,,0.24,0.44,0.50,,0.88,0.61,0.86,0.81,,,0.22
PH,PH.LN,Lanao del Norte,0.50,0.79,0.40,0.33,0.45,0.55,0.00,0.27,0.30,0.47,0.23,0.70,,0.75,,0.56,0.00,0.28,,0.78,0.60,0.59,0.28,,,0.24
PH,PH.LS,Lanao del Sur,0.44,0.73,0.39,0.35,1.00,0.89,0.28,0.27,0.36,0.64,0.89,0.80,,0.84,,1.00,0.26,0.18,,0.63,0.43,0.74,0.09,,,0.82
PH,PH.LE,Leyte,0.70,0.94,0.84,0.83,0.52,0.50,0.23,0.52,0.68,0.52,0.36,0.21,,0.65,,0.46,0.14,0.58,,0.56,0.56,0.50,0.45,,,0.78
PH,PH.MG,Maguindanao,0.48,0.79,0.53,0.51,0.97,0.87,0.44,0.43,0.41,1.00,0.54,0.81,,0.85,,0.95,0.66,0.01,,0.60,0.37,0.81,0.12,,,0.27
PH,PH.MQ,Marinduque,0.34,0.36,0.71,0.72,0.22,0.65,0.49,0.76,0.97,0.15,1.00,0.32,,0.46,,0.75,0.00,0.30,,0.64,0.42,0.44,0.35,,,0.80
PH,PH.MB,Masbate,0.54,0.62,0.57,0.58,0.62,1.00,0.74,0.56,0.64,0.37,0.35,0.12,,0.49,,0.61,0.05,0.10,,0.39,0.15,0.84,0.30,,,0.55
PH,PH.MD,Misamis Occidental,0.43,0.72,0.39,0.37,0.45,0.39,0.00,0.44,0.34,0.33,0.43,0.38,,0.51,,0.49,0.90,0.43,,0.86,0.71,0.79,0.28,,,0.53
PH,PH.MN,Misamis Oriental,0.60,0.82,0.46,0.41,0.25,0.32,0.21,0.50,0.29,0.57,0.34,0.17,,0.58,,0.39,0.02,0.56,,0.69,0.60,0.00,0.53,,,0.72
PH,PH.MT,Mountain Province,0.27,0.42,0.65,0.63,0.40,0.45,0.00,0.79,0.41,0.00,0.54,0.32,,0.00,,0.42,0.00,0.59,,0.62,0.74,0.93,0.19,,,0.35
PH,,NCR,1.00,1.00,0.78,0.75,0.00,0.00,0.51,0.86,0.45,0.46,0.19,0.85,,0.17,,0.00,0.54,1.00,,1.00,0.81,0.56,1.00,,,0.30
PH,PH.ND,Negros Occidental,0.75,0.96,0.71,0.72,0.33,0.39,0.50,0.67,0.41,0.37,0.20,0.10,,0.62,,0.48,0.54,0.15,,0.54,0.48,0.68,0.46,,,0.63
PH,PH.NR,Negros Oriental,0.61,0.77,0.59,0.56,0.45,0.42,0.71,0.70,0.39,0.28,0.33,0.12,,0.33,,0.48,0.25,0.23,,0.28,0.42,0.21,0.28,,,0.63
PH,PH.NS,Northern Samar,0.50,0.64,0.73,0.66,0.66,0.73,0.53,0.47,0.66,0.40,0.52,0.22,,0.51,,0.64,0.00,0.15,,0.23,0.31,0.49,0.15,,,0.61
PH,PH.NE,Nueva Ecija,0.73,0.78,0.86,0.81,0.13,0.26,0.17,0.16,0.52,0.54,0.38,0.47,,0.63,,0.31,0.32,0.47,,0.70,0.50,0.28,0.46,,,0.35
PH,PH.NV,Nueva Vizcaya,0.50,0.67,1.00,1.00,0.25,0.33,0.39,0.76,0.48,0.39,0.62,0.23,,0.48,,0.38,0.00,0.51,,0.53,0.66,0.57,0.23,,,0.50
PH,PH.MC,Occidental Mindoro,0.49,0.52,0.82,0.81,0.37,0.63,0.53,0.94,0.48,0.41,0.25,0.13,,0.73,,0.70,0.92,0.18,,0.59,0.32,0.71,0.13,,,0.38
PH,PH.MR,Oriental Mindoro,0.58,0.65,0.85,0.91,0.14,0.53,0.17,0.55,0.51,0.40,0.61,0.27,,0.59,,0.49,0.74,0.29,,0.66,0.37,0.85,0.29,,,0.48
PH,PH.PL,Palawan,0.54,0.52,0.44,0.42,0.18,0.52,0.70,0.71,0.87,0.66,0.39,0.00,,0.83,,0.62,1.00,0.12,,0.00,0.50,0.62,0.17,,,0.42
PH,PH.PM,Pampanga,0.74,0.81,0.86,0.79,0.01,0.17,0.34,0.32,0.34,0.92,0.33,0.48,,0.55,,0.16,0.46,0.68,,0.87,0.58,0.82,0.81,,,0.54
PH,PH.PN,Pangasinan,0.77,0.99,0.79,0.77,0.20,0.41,0.48,0.59,0.41,0.34,0.43,0.35,,0.58,,0.44,0.03,0.48,,0.74,0.51,0.61,0.54,,,0.70
PH,PH.QZ,Quezon,0.68,0.72,0.60,0.56,0.20,0.42,0.26,0.58,0.54,0.39,0.36,0.28,,0.59,,0.38,0.40,0.35,,0.64,0.49,0.53,0.30,,,0.59
PH,PH.QR,Quirino,0.34,0.40,0.80,0.78,0.19,0.35,0.00,0.00,0.27,0.37,0.51,0.32,,0.52,,0.48,0.00,0.26,,0.61,0.44,0.58,0.07,,,0.29
PH,PH.RI,Rizal,0.75,0.97,0.73,0.80,0.05,0.19,0.51,0.67,0.63,0.85,0.25,0.50,,0.36,,0.21,0.00,0.26,,0.92,0.44,0.83,0.83,,,0.00
PH,PH.RO,Romblon,0.36,0.37,0.61,0.59,0.46,0.68,0.73,0.32,0.45,0.16,1.00,0.15,,0.41,,0.65,0.00,0.24,,0.37,0.29,0.87,0.32,,,0.52
PH,PH.SM,Samar,0.52,0.69,0.65,0.64,0.52,0.66,0.35,0.30,0.36,0.34,0.44,0.22,,0.65,,0.54,0.15,0.07,,0.12,0.39,0.42,0.14,,,0.77
PH,PH.SG,Sarangani,0.44,0.61,0.54,0.57,0.88,0.54,0.56,0.34,0.17,0.49,0.32,0.09,,0.98,,0.49,0.00,0.03,,0.20,0.22,0.88,0.13,,,0.08
PH,PH.SQ,Siquijor,0.05,0.11,0.21,0.18,0.15,0.35,0.00,0.39,0.63,0.29,0.73,0.27,,0.21,,0.53,0.00,0.10,,0.23,0.51,0.85,0.67,,,1.00
PH,PH.SR,Sorsogon,0.53,0.68,0.68,0.70,0.46,0.63,0.58,0.56,0.31,0.38,0.52,0.21,,0.59,,0.57,0.47,0.22,,0.73,0.35,0.74,0.53,,,0.74
PH,PH.SC,South Cotabato,0.61,0.71,0.55,0.53,0.31,0.34,0.52,0.76,0.53,0.57,0.26,0.13,,0.65,,0.40,0.00,0.38,,0.75,0.68,0.79,0.58,,,0.53
PH,PH.SL,Southern Leyte,0.46,0.63,0.91,0.88,0.40,0.46,0.43,0.28,0.22,0.30,0.58,0.47,,0.63,,0.52,0.00,0.30,,0.61,0.54,0.24,0.32,,,0.77
PH,PH.SK,Sultan Kudarat,0.53,0.80,0.59,0.59,0.58,0.42,0.66,0.70,0.48,0.47,0.27,0.55,,0.82,,0.43,0.00,0.27,,0.59,0.52,0.63,0.28,,,0.15
PH,PH.SU,Sulu,0.21,0.28,0.04,0.00,1.00,0.87,0.46,0.82,0.99,0.79,0.45,1.00,,0.87,,1.00,0.14,0.04,,0.47,0.23,0.81,0.10,,,0.73
PH,PH.ST,Surigao del Norte,0.44,0.72,0.65,0.61,0.66,0.46,0.32,0.45,0.86,0.52,0.34,0.13,,0.73,,0.75,0.22,0.29,,0.66,0.52,0.62,0.33,,,0.74
PH,PH.SS,Surigao del Sur,0.50,0.77,0.72,0.61,0.45,0.55,0.55,0.49,0.66,0.30,0.25,0.00,,0.80,,0.82,0.00,0.37,,0.46,0.40,0.48,0.20,,,0.66
PH,PH.TR,Tarlac,0.63,0.70,0.79,0.75,0.15,0.32,0.30,0.39,0.43,0.39,0.36,0.39,,0.59,,0.30,0.00,0.63,,0.72,0.60,0.85,0.51,,,0.70
PH,PH.TT,Tawi-Tawi,0.01,0.00,0.00,0.00,0.33,0.73,0.63,0.69,0.99,0.35,0.41,1.00,,1.00,,1.00,0.00,0.06,,0.00,0.29,0.80,0.13,,,0.37
PH,PH.ZM,Zambales,0.57,0.57,0.87,0.89,0.23,0.31,0.57,0.49,0.98,0.43,0.26,0.16,,0.69,,0.40,0.00,0.65,,0.61,0.58,0.70,0.32,,,0.45
PH,PH.ZN,Zamboanga del Norte,0.49,0.72,0.34,0.33,0.89,0.61,0.47,0.32,0.51,0.30,0.43,0.12,,0.68,,0.51,0.00,0.26,,0.51,0.34,0.68,0.20,,,0.56
PH,PH.ZS,Zamboanga del Sur,0.62,0.86,0.44,0.50,0.41,0.43,0.54,0.09,0.53,0.32,0.22,0.16,,0.73,,0.42,0.00,0.52,,0.68,0.63,0.79,0.30,,,0.00
PH,PH.ZY,Zamboanga Sibugay,0.37,0.57,0.23,0.26,0.65,0.63,0.41,0.34,0.45,0.45,0.10,0.31,,0.83,,0.58,0.00,0.21,,0.70,0.23,0.63,0.21,,,0.31
DO,DO.AZ,Azua,0.48,,0.26,,0.68,0.47,0.23,0.48,0.57,0.32,0.75,0.50,0.75,0.85,0.61,,0.69,0.38,0.30,0.14,0.41,0.72,0.27,0.21,0.27,
DO,DO.BR,Baoruco,0.33,,0.44,,0.84,0.86,0.98,0.52,1.00,0.30,0.71,0.45,0.81,0.81,0.22,,0.42,0.19,0.59,0.16,0.36,0.50,0.30,0.11,0.09,
DO,DO.BH,Barahona,0.45,,0.33,,0.68,0.63,0.00,0.67,0.58,0.13,0.43,0.34,0.63,0.72,0.44,,0.37,0.42,0.81,0.03,0.51,0.75,0.25,0.28,0.30,
DO,DO.DA,Dajabón,0.30,,0.41,,0.48,0.52,0.84,0.80,0.81,0.31,0.61,0.35,0.63,0.72,0.00,,0.11,0.72,0.78,0.44,0.72,0.55,0.38,0.24,0.72,
DO,DO.NC,Distrito Nacional,0.86,,0.67,,0.04,0.00,0.09,0.90,0.00,0.50,0.24,0.30,0.00,0.00,0.55,,0.00,1.00,0.71,1.00,0.48,1.00,1.00,1.00,1.00,
DO,DO.DU,Duarte,0.64,,0.95,,0.27,0.15,0.05,0.45,0.16,0.28,0.43,0.52,0.48,0.79,0.66,,0.13,0.80,0.72,0.51,0.39,0.55,0.46,0.51,0.74,
DO,DO.SE,El Seibo,0.34,,0.57,,0.75,0.63,0.22,0.00,0.36,0.43,0.64,0.58,0.79,1.00,0.43,,0.05,0.48,0.32,0.22,0.27,0.48,0.37,0.16,0.19,
DO,DO.EP,Elías Piña,0.21,,0.00,,1.00,1.00,,0.43,1.00,0.07,0.62,0.35,1.00,0.76,0.27,,0.17,0.45,0.61,0.06,0.61,0.00,0.11,0.00,0.02,
DO,DO.ES,Espaillat,0.59,,0.97,,0.12,0.06,0.13,0.61,0.34,0.29,0.53,0.72,0.49,0.71,0.52,,0.02,0.24,0.34,0.40,0.19,0.69,0.53,0.42,0.83,
DO,DO.HM,Hato Mayor,0.36,,0.72,,0.61,0.34,0.79,0.41,0.24,0.09,0.27,0.00,0.60,0.80,0.51,,0.29,0.96,0.31,0.04,0.32,0.64,0.30,0.21,0.56,
DO,DO.SC,Hermanas Mirabal ,0.41,,1.00,,0.18,0.22,1.00,0.46,0.30,0.05,0.42,0.51,0.44,0.74,0.30,,0.10,1.00,1.00,0.57,1.00,0.65,0.58,0.51,0.69,
DO,DO.IN,Independencia,0.23,,0.49,,0.82,1.00,0.89,0.23,0.38,0.59,0.63,1.00,0.79,0.61,0.59,,0.84,0.50,1.00,0.17,0.72,0.37,0.18,0.07,0.05,
DO,DO.AL,La Altagracia,0.50,,0.63,,0.42,0.13,0.03,0.11,0.11,1.00,1.00,0.69,0.53,0.46,1.00,,0.22,0.00,0.00,0.00,0.00,0.68,0.32,0.25,0.84,
DO,DO.RO,La Romana,0.55,,0.67,,0.33,0.26,0.51,0.23,0.09,0.59,0.45,0.34,0.45,0.32,0.57,,0.33,0.11,0.01,0.29,0.02,0.86,0.54,0.49,0.87,
DO,DO.VE,La Vega,0.68,,0.77,,0.07,0.16,0.09,0.94,0.39,0.34,0.28,0.60,0.52,0.81,0.98,,0.46,0.36,0.29,0.21,0.32,0.77,0.57,0.48,0.79,
DO,DO.MT,María Trinidad Sánchez,0.47,,0.91,,0.27,0.18,0.16,0.56,0.18,0.01,0.50,0.80,0.54,0.85,0.63,,0.11,0.36,0.42,0.35,0.24,0.55,0.51,0.25,0.74,
DO,DO.MN,Monseñor Nouel,0.52,,0.88,,0.00,0.19,0.20,0.65,0.50,0.39,0.34,0.27,0.45,0.70,0.80,,0.35,0.33,0.19,0.45,0.31,0.51,0.36,0.58,0.79,
